	 Lmin 		 M 	  MAX_CYCLE 	 X 	 temps

repetition 1
	 41310.000000;	 22;	 10;		 3;	 5.298000; 
	 40862.000000;	 22;	 10;		 4;	 5.228000; 
	 36234.000000;	 22;	 10;		 5;	 5.214000; 
	 38595.000000;	 22;	 10;		 6;	 5.228000; 
	 38312.000000;	 22;	 10;		 7;	 5.288000; 
	 35314.000000;	 22;	 10;		 8;	 5.233000; 
	 43607.000000;	 22;	 10;		 9;	 5.288000; 
	 42539.000000;	 22;	 10;		 10;	 5.221000; 
	 39859.000000;	 22;	 10;		 11;	 5.396000; 
	 37160.000000;	 22;	 10;		 12;	 5.289000; 
	 44881.000000;	 22;	 10;		 13;	 5.272000; 
	 39231.000000;	 22;	 10;		 14;	 5.290000; 
	 36024.000000;	 22;	 10;		 15;	 5.087000; 
	 42197.000000;	 22;	 10;		 16;	 5.279000; 
	 41457.000000;	 22;	 10;		 17;	 5.291000; 
	 38881.000000;	 22;	 10;		 18;	 5.261000; 
	 42881.000000;	 22;	 10;		 19;	 5.276000; 
	 41668.000000;	 22;	 10;		 20;	 5.298000; 
	 40991.000000;	 22;	 10;		 21;	 5.308000; 
	 44419.000000;	 22;	 10;		 22;	 5.197000; 
	 38375.000000;	 23;	 10;		 2;	 5.473000; 
	 35984.000000;	 23;	 10;		 3;	 5.520000; 
	 41460.000000;	 23;	 10;		 4;	 5.452000; 
	 39704.000000;	 23;	 10;		 5;	 5.583000; 
	 39472.000000;	 23;	 10;		 6;	 5.571000; 
	 40394.000000;	 23;	 10;		 7;	 5.689000; 
	 40694.000000;	 23;	 10;		 8;	 5.790000; 
	 39528.000000;	 23;	 10;		 9;	 5.632000; 
	 42898.000000;	 23;	 10;		 10;	 5.505000; 
	 27362.000000;	 23;	 10;		 11;	 5.631000; 
	 41393.000000;	 23;	 10;		 12;	 5.715000; 
	 42762.000000;	 23;	 10;		 13;	 5.631000; 
	 40501.000000;	 23;	 10;		 14;	 5.578000; 
	 39523.000000;	 23;	 10;		 15;	 5.371000; 
	 41119.000000;	 23;	 10;		 16;	 5.233000; 
	 40933.000000;	 23;	 10;		 17;	 5.430000; 
	 43319.000000;	 23;	 10;		 18;	 5.640000; 
	 40251.000000;	 23;	 10;		 19;	 5.367000; 
	 42060.000000;	 23;	 10;		 20;	 5.236000; 
	 39753.000000;	 23;	 10;		 21;	 5.347000; 
	 40739.000000;	 23;	 10;		 22;	 5.532000; 
	 42845.000000;	 23;	 10;		 23;	 5.784000; 
	 31713.000000;	 24;	 10;		 2;	 5.986000; 
	 25094.000000;	 24;	 10;		 3;	 5.971000; 
	 39351.000000;	 24;	 10;		 4;	 6.057000; 
	 38476.000000;	 24;	 10;		 5;	 5.909000; 
	 38760.000000;	 24;	 10;		 6;	 5.924000; 
	 38856.000000;	 24;	 10;		 7;	 5.701000; 
	 38629.000000;	 24;	 10;		 8;	 5.959000; 
	 36213.000000;	 24;	 10;		 9;	 5.893000; 
	 42279.000000;	 24;	 10;		 10;	 5.725000; 
	 39989.000000;	 24;	 10;		 11;	 5.852000; 
	 39328.000000;	 24;	 10;		 12;	 5.911000; 
	 36882.000000;	 24;	 10;		 13;	 5.917000; 
	 40607.000000;	 24;	 10;		 14;	 5.890000; 
	 42398.000000;	 24;	 10;		 15;	 5.871000; 
	 40924.000000;	 24;	 10;		 16;	 5.882000; 
	 42181.000000;	 24;	 10;		 17;	 5.817000; 
	 42841.000000;	 24;	 10;		 18;	 5.592000; 
	 33384.000000;	 24;	 10;		 19;	 5.883000; 
	 43936.000000;	 24;	 10;		 20;	 5.663000; 
	 42114.000000;	 24;	 10;		 21;	 5.617000; 
	 42392.000000;	 24;	 10;		 22;	 5.788000; 
	 43409.000000;	 24;	 10;		 23;	 5.826000; 
	 38898.000000;	 24;	 10;		 24;	 5.868000; 
	 38026.000000;	 25;	 10;		 2;	 6.175000; 
	 40179.000000;	 25;	 10;		 3;	 6.096000; 
	 39217.000000;	 25;	 10;		 4;	 6.203000; 
	 37221.000000;	 25;	 10;		 5;	 6.040000; 
	 35235.000000;	 25;	 10;		 6;	 5.897000; 
	 36077.000000;	 25;	 10;		 7;	 5.685000; 
	 38073.000000;	 25;	 10;		 8;	 5.704000; 
	 34672.000000;	 25;	 10;		 9;	 5.744000; 
	 41299.000000;	 25;	 10;		 10;	 5.715000; 
	 39144.000000;	 25;	 10;		 11;	 5.707000; 
	 40534.000000;	 25;	 10;		 12;	 5.734000; 
	 39151.000000;	 25;	 10;		 13;	 5.731000; 
	 42028.000000;	 25;	 10;		 14;	 5.691000; 
	 37206.000000;	 25;	 10;		 15;	 5.732000; 
	 39781.000000;	 25;	 10;		 16;	 5.678000; 
	 42458.000000;	 25;	 10;		 17;	 5.714000; 
	 41263.000000;	 25;	 10;		 18;	 5.777000; 
	 37646.000000;	 25;	 10;		 19;	 5.686000; 
	 42548.000000;	 25;	 10;		 20;	 5.691000; 
	 43471.000000;	 25;	 10;		 21;	 5.730000; 
	 41043.000000;	 25;	 10;		 22;	 5.758000; 
	 42492.000000;	 25;	 10;		 23;	 5.697000; 
	 40173.000000;	 25;	 10;		 24;	 5.741000; 
	 40038.000000;	 25;	 10;		 25;	 5.686000; 
